Date of submission,AISHE ID,Institution Track ID,Application For,Cycle of Accreditation,Name of the College,Date of establishment of the Institution,Name of the Head of the Institution,Designation,Does the college function from Own Campus,Address of the College,State/UT,District,City,Pin,Phone No,Fax No,Mobile No,Registered Email,Alternate Email,Alternate Faculty Contact Details,Address,State/UT_1,Pin_1,Phone No_1,Fax No_1,Mobile No_1,Email,Alternate Email_1,Website,"Has the Institution completed 6 years of existence /
Years of graduation of last two batches",Nature of the college,College Affiliation,"Is the Institution recognized under section 2(f) of the
UGC Act?","Is the Institution recognized under section 12B of the
UGC Act?
If yes, date of recognition by UGC under section
12B along with latest Plan General Development
Grant release letter","Is the institution recognised as an Autonomous
College by the UGC?","Is the institution recognised as a ‘College with
Potential for Excellence (CPE)’ by the UGC?","Is the institution recognised as a ‘College of
Excellence’ by the UGC?","Is the College offering any programmes recognised
by any Statutory Regulatory Authority (SRA)",State,University Name,Male,Female,Transgender,Total,Date of establishment of IQAC,Date of uploading data on MHRD website for AISHE,Name of the University,Does the University function from Own Campus,Address of the University,Alternate Phone No,City_1,Alternate Phone No_1,Nature of the University,Type of University,"If the University is not under the purview of UGC
indicate the parent Ministry / Authority under which it
was established(attach proof)","Is the institution recognised as a ‘University with
Potential for Excellence (CPE)’ by the UGC?","Is the University offering any programmes recognised
by any Statutory Regulatory Authority (SRA)","Whether the Institution is registered in the National
Academic Depository (NAD) system",Old Name of the Institution,,Ol Name of University
30/01/2020,C-13986,MHCOGN106197,Accreditation,Cycle1,"SNJB'S. SMT. K. B. ABAD HOMOEOPATHIC MEDICAL COLLEGE, SHRI. R. P. CHORDIYA HOSPITAL AND BHAMASHAH SHRI. V. D. MEHTA, DEV-VIJAY P. G. INSTITUTE OF HOMOEOPATHY AND RESEARCH CENTRE,CHANDWAD, DIST.NASHIK",02/06/1989,Dr. AJAY ONKARNATH DAHAD,Principal,Yes,"Smt. K. B. Abad Hom. Med. College, Chandwad",MAHARASHTRA,,CHANDWAD DIST NASHIK,423101,02556-252544,02556-253282,9423929797,kbahmc_nsk@rediffmail.com,drdahad@yahoo.com,Dr. MUKESH HEMRAJ PAREWAL Associate Professor,"Neminagar, Chandwad-423101 Dist. Nashik",MAHARASHTRA,423101,02556-252041,02556-253172,8788876830,mukeshparewal1977@gmail.com,amit_jagzap@rediffmail.com,www.snjb.org/medical,"Yes
Year1- 2017 Year2- 2018",Private,"Affiliated
(Homeopathy college)",No,No,No,No,No,Yes,Maharashtra,"Maharashtra University of
Health Sciences",120,304,,424,31/08/2017,21/02/2019 ,,,,,CHANDWAD DIST NASHIK,,,,,,,,,,
18/04/2023,C-25386,APCOGN12685,Accreditation,Cycle3 Cycle Date Grade Score 1 02/02/2006 B 71.00 2 14/09/2015 B 2.08 3 21/12/2023 B++ 2.96,GOVT. DEGREE COLLEGE AVANIGADDA,01/07/1977,Dr. DONAVALLI UMA RANI,Principal,Yes,"Door no-1-3/433 Avanigadda Nera Gandhikshetram Main Road, Avanigadda Krishna District, ANDHRA PRADESH. pin code -521121.",ANDHRA PRADESH,KRISHNA,AVANIGADDA,521121,08671-272261,-,9494299418,gdcjkc.avanigadda@gmail.com,gdc.avanigadda@yahoo.com,,"D/O Sri. P. Dhana Raju Indira Nagar
Vissannapeta - 521215, Krishna Dt.
Andhra Pradesh",ANDHRA PRADESH,521121,08671-9494051548,-,9494051548,sandhyasri.prathipati@gmail.com,naac3cycle@gmail.com,www.gdcavanigadda.ac.in,"Yes
Year1- 2021 Year2- 2022",Government,"Affiliated
(Affiliated/Constituent Colleges)","Yes
14/02/2000
View Document","Yes
14/02/2000
View Document",No,No,No,,"Andhra
Pradesh",Krishna University,311,208,0,519,01/07/2007,24/12/2022 ,,,,,AVANIGADDA,,,,,,,,GOVERNMENT DEGREE COLLEGE AVANIGADDA View Document,,
07/09/2018,C-17787,KACOGN11644,Accreditation,Cycle3 Cycle Date Grade Score 1 16/09/2004 B+ 77.50 2 10/03/2012 B 2.6 3 28/03/2019 B+ 2.57,SHARAVATHI FIRST GRADE COLLEGE KONANDUR,01/07/1983,Prof. K M SUDHAKARA,Principal,Yes,SHARAVATHI FIRST GRADE COLLEGE C K ROAD KONANDUR KONANDUR POST THIRTHAHALLI TALUK SHIMOGA DIST 577422,KARNATAKA,,KONANDUR THIRTHAHALLI TALUK SHIMOGA DIST,577422,08181-276635,08181-276455,9008992477,sfgckonandur@gmail.com,,,"NAAC COORDINATOR, HEAD OF THE DEPARTMENT
OF COMMERCE, SHARAVATHI FIRST GRADE
COLLEGE KONANDUR KONANDUR POST
THIRTHAHALLI TALUK SHIMOGA DIST 577422",KARNATAKA,577422,08181-276840,-,9480353830,sureshhm62@gmail.com,,www.sfgckonandur.in,"Yes
Year1- 2017 Year2- 2018",Private and Grant-in-aid,"Affiliated
(Affiliated UG College)","Yes
06/08/1998
View Document","Yes
06/08/1998
View Document",No,No,No,No,Karnataka,Kuvempu University,150,208,0,358,02/07/2007,05/03/2018 ,,,,,KONANDUR THIRTHAHALLI TALUK SHIMOGA DIST,,,,,,,,,,
06/12/2017,U-0095,CGUNGN100505,Accreditation,Cycle1,,02/09/2008,Prof.ROHINI PRASAD,Vice Chancellor,,,Chhattisgarh,,AMBIKAPUR,497001,07774-222788,,9406034527,registrarsua@yahoo.co.in,drprasad_16@yahoo.co.in,Prof.Madhur Mohan Ranga IQAC / CIQA coordinator,"New Hospital Road , Darripara,Ambikapur(C.G.)",Chhattisgarh,497001,07774-223245,,9079680792,madhurranga@gmail.com,banjaraashish@gmail.com,www.sargujauniversity.com,"Yes
Year1- 2016 Year2- 2017",,,"Yes
05/03/2010
View Document",No,,,,,,,724,312,0,1036,28/11/2017,01/04/2017 ,"SANT GAHIRA GURU VISHWAVIDYALAYA, SARGUJA",Yes,"New Hospital Road , Darripara,Ambikapur(C.G.)",07774-222791,AMBIKAPUR,07774-222790,"State University
View Document",Affiliating,No,No,Yes,,,,
12/10/2023,C-10513,PBCOGN115564,Accreditation,Cycle1,ST. SOLDIER GROUP OF INSTITUTIONS,01/01/2010,Dr. GURPREET SINGH,Principal,Yes,"Behind NIT (REC), Amritsar By-Pass, G.T. Road, Jalandhar",PUNJAB,JALANDHAR,JALANDHAR,144011,0181-2690408,-,7400000291,saini3077@gmail.com,stssiet@gmail.com,Dr. TANVIR SINGH IQAC / CIQA coordinator,"Behind NIT (REC), Amritsar By-Pass, G.T. Road, Jalandhar",PUNJAB,144011,0181-2690408,-,8146426766,tanvirsingh3@gmail.com,tanvirs.15.phd@nitj.ac.in,www.stsiet.com,"Yes
Year1- 2022 Year2- 2023",Private,"Affiliated
(Affiliated/Constituent Colleges)",No,No,No,No,No,Yes,Punjab,"The I.K. Gujaral Punjab
Technical University",493,221,0,714,11/09/2018,09/01/2023 ,,,,,JALANDHAR,,,,,,,,,,
07/11/2022,C-18898,MHCOGN27129,Accreditation,Cycle2 Cycle Date Grade Score 1 30/10/2017 A 3.01 2 19/05/2023 A+ 3.41,DR. AMBEDKAR INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH,06/07/1987,Dr. SUDHIR S. FULZELE,Director,Yes,"Deekshabhoomi, Laxminagar",MAHARASHTRA,NAGPUR,NAGPUR,440010,0727-6021203,-,9822563970,ssfulzele@yahoo.com,info@daimsr.edu.in,,"Deekshbhoomi, Laxminagar",MAHARASHTRA,440010,0727-601208,-,9890325497,iqac@daimsr.edu.in,mjsiddiqui@gmail.com,www.daimsr.edu.in,"Yes
Year1- 2020 Year2- 2021",Self Financing,"Affiliated
(Affiliated/Constituent Colleges)","Yes
25/08/2017
View Document","Yes
25/08/2017
View Document",No,No,No,Yes,Maharashtra,"The Rashtrasant Tukadoji
Maharaj Nagpur University",1435,1374,0,2809,10/05/2014,27/01/2022 ,,,,,NAGPUR,,,,,,,,DR. AMBEDKAR INSTITUTE OF MANAGEMENT STUDIES RESEARCH View Document,,
20/12/2022,C-6387,DLCOGN22282,Accreditation,Cycle2 Cycle Date Grade Score 1 30/10/2017 A 3.04 2 08/07/2023 A++ 3.6,BHASKARACHARYA COLLEGE OF APPLIED SCIENCES,04/10/1995,Prof. AVNEESH MITTAL,Principal,Yes,"SECTOR-2, PHASE-I, DWARKA, NEW DELHI-110075, INDIA",DELHI,SOUTH WEST DELHI,NEW DELHI,110075,011-25087597,-,9540758800,bhaskaracharya.college@gmail.com,bhaskaracharya.college@bcas.du.ac.in,Dr. UMA CHAUDHRY Professor,,DELHI,110075,011-41522219,-,9811746265,uma.chaudhry@bcas.du.ac.in,principal@bcas.du.ac.in,https://bcas.du.ac.in,"Yes
Year1- 2021 Year2- 2022","Government and Grant-in-aid and
Constituent","Affiliated
(Affiliated/Constituent Colleges)","Yes
15/07/1998
View Document","Yes
15/07/1998
View Document",No,No,No,No,Delhi,University of Delhi,937,413,0,1350,23/08/2016,16/12/2022 ,,,,,NEW DELHI,,,,,,,,,,
03/01/2020,C-11143,MHCOGN22335,Accreditation,Cycle2 Cycle Date Grade Score 1 01/05/2015 C 1.90 2 08/04/2021 B 2.43,BABA NAIK MAHAVIDYALAYA,01/01/1998,Dr. RAJENDRA BAPU BANSODE,Principal,Yes,"At and Post - Kokrud, Tal- Shirala, Dist- Sangli",MAHARASHTRA,,KOKRUD,415405,02345-224150,02345-224151,9422343711,bnmkokrud@gmail.com,rvinod2404@gmail.com,Dr. DILAWAR YUSUF JAMADAR IQAC / CIQA coordinator,"Baba Naik Mahavidyalaya, Kokrud, Tal- Shirala, Dist - Sangli",MAHARASHTRA,415405,02345-270002,02345-,7157090086,dilawarjamadar@gmail.com,babanaik.kokrud@gmail.com,www.babanaikmahavidyalaya.com,"Yes
Year1- 2017 Year2- 2018",Private and Grant-in-aid,"Affiliated
(Affiliated UG College)","Yes
05/02/2016
View Document","Yes
05/02/2016
View Document",No,No,No,No,Maharashtra,Shivaji University,142,207,0,349,15/06/2015,18/01/2019 ,,,,,KOKRUD,,,,,,,,,,
11/08/2023,C-26868,APCOGN80441,Accreditation,Cycle3 Cycle Date Grade Score 1 23/03/2013 B 2.60 2 02/11/2018 B+ 2.68 3 25/10/2024 A+ 3.28,K.S.R.M. COLLEGE OF ENGINEERING,08/06/1980,Prof. V.S.S. MURTHY,Principal,Yes,"Tadigotla Village, Chintakommadinne Mandal, Kadapa",ANDHRA PRADESH,KADAPA,KADAPA,516005,08562-9885230680,-,9885230680,principal@ksrmce.ac.in,,Dr. SYED ZAHIRUDDIN IQAC / CIQA coordinator,,ANDHRA PRADESH,516005,-9985226064,-,9985226064,iqac@ksrmce.ac.in,zahir@ksrmce.ac.in,www.ksrmce.ac.in,"Yes
Year1- 2022 Year2- 2023",Private and Self Financing,"Affiliated
(Autonomous colleges)","Yes
30/05/2013
View Document","Yes
30/05/2013
View Document","Yes
View Document",No,No,Yes,"Andhra
Pradesh","Jawaharlal Nehru
Technological University,
Anantpur",1855,823,0,2678,01/09/2012,13/01/2023 ,,,,,KADAPA,,,,,,,,,,
04/12/2023,C-24102,APCOGN12730,Accreditation,Cycle3 Cycle Date Grade Score 1 21/05/2006 B 71.00 2 24/09/2014 B 2.24 3 06/12/2024 C 1.96,GOVERNMENT DEGREE COLLEGE (A) TUNI,06/10/1980,Dr. CH LALITHA,Principal,Yes,"NH 16, Beside Tuni Rural Police Station, Velama Kothuru Village, Tuni Mandal",ANDHRA PRADESH,EAST GODAVARI,TUNI,533401,08854-252211,-,9866594053,jkcrjyec.tuni@gmail.com,,Dr. SRIDHAR NAMBALLA IQAC / CIQA coordinator,,ANDHRA PRADESH,533401,-,-,9483999000,sridhar.namballa@gmail.com,,www.gdctuni.edu.in,"Yes
Year1- 2022 Year2- 2023",Government,"Affiliated
(Autonomous colleges)","Yes
02/08/1988
View Document","Yes
02/08/1988
View Document","Yes
View Document",No,No,No,"Andhra
Pradesh",Adikavi Nannaya University,527,245,0,772,20/06/2006,18/01/2023 ,,,,,TUNI,,,,,,,,,,
20/06/2018,C-26427,ASCOGN11578,Accreditation,Cycle3 Cycle Date Grade Score 1 16/09/2004 B 70.00 2 27/03/2011 B 2.72 3 08/02/2019 C 1.89,"NABINCHANDRA COLLEGE, BADARPUR",02/08/1969,Dr. MORTUJA HUSSAIN,Principal,Yes,PO AND PS BADARPUR DISTRICT KARIMGANJ (ASSAM) PIN 788806,ASSAM,,BADARPUR,788806,03843-268153,03483-268153,9435177246,n_ccollege@rediffmail.com,principal@nccollege.ac.in,Mr. SANTOSH KUMAR DEY Associate Professor,,ASSAM,788806,-,-,9435076271,santoshdey4@gmail.com,,www.nccollege.ac.in,"Yes
Year1- 2016 Year2- 2017",Government,"Affiliated
(Affiliated UG College)","Yes
13/11/1987
View Document","Yes
13/11/1987
View Document",No,No,No,No,Assam,Assam University,778,755,0,1533,20/01/2005,28/02/2018 ,,,,,BADARPUR,,,,,,,,,,
29/09/2023,C-27079,TNCOGN115604,Accreditation,Cycle1,PSN INSTITUTE OF TECHNOLOGY AND SCIENCE,21/07/2009,Dr. KATHIRVEL,Principal,Yes,"PSN INSTITUTE OF TECHNOLOGY AND SCIENCE, MELATHEDIYOOR, TIRUNELVELI",TAMIL NADU,TIRUNELVELI,TIRUNELVELI,627152,04634-279084,04634-279086,9486507441,principal.psnits949@gmail.com,psnits.principal@gmail.com,Dr. RAJASREE IQAC / CIQA coordinator,"PSN INSTITUTE OF TECHNOLOGY AND SCIENCE, MELATHEDIYOOR, TIRUNELVELI",TAMIL NADU,627152,04634-279085,04634-279086,8903592850,psnitsiqac@gmail.com,naacpsnits@gmail.com,https://psnits.ac.in,"Yes
Year1- 2022 Year2- 2023",Self Financing,"Affiliated
(Affiliated/Constituent Colleges)",No,No,No,No,No,Yes,Tamil Nadu,Anna University,,,,,25/07/2018,14/02/2023 ,,,,,TIRUNELVELI,,,,,,,,,,
28/04/2023,C-23936,APCOGN114488,Accreditation,Cycle1,"GOVERNMENT DEGREE COLLEGE, CHODAVARAM",01/01/1981,Dr. RAMACHANDRA R K,Principal,Yes,"GNADHI GRAMAM, CHODAVARAM",ANDHRA PRADESH,VISAKHAPATNAM,CHODAVARAM,531036,08934-294088,-,9440328736,gdcchodavaram@gmail.com,principal@gdcc.ac.in,Mr. P. KIRAN KUMAR IQAC / CIQA coordinator,"GANDHI GRAMAM, CHODAVARAM",ANDHRA PRADESH,531036,-,-,9000251552,kiran@gdcc.ac.in,,www.gdcc.ac.in,"Yes
Year1- 1984 Year2- 1985",Government,"Affiliated
(Affiliated/Constituent Colleges)","Yes
07/07/1992
View Document","Yes
07/07/1992
View Document",No,No,No,No,"Andhra
Pradesh",Andhra University,294,282,0,576,01/07/2022,30/12/2022 ,,,,,CHODAVARAM,,,,,,,No,,,
01/01/2025,C-8091,KLCOGN102510,Re-Assessment,Cycle1 Cycle Date Grade Score 1 18/10/2022 B+ 2.71,YUVAKSHETRA INSTITUTE OF MANAGEMENT STUDIES,01/07/2005,Dr. TOMY ANTONY,Principal,Yes,"EZHAKKAD(PO), MUNDUR, PALAKKAD (DIST), KERALA, INDIA",KERALA,PALAKKAD,MUNDUR,678631,0491-2846426,-,9961233888,naac@yuvakshetra.org,iqac@yuvakshetra.org,Mrs. SHYLAJA MENON IQAC / CIQA coordinator,"YUVAKSHETRA INSTITUTE OF MANAGEMENT STUDIES, EZHAKKAD (PO),MUNDUR,",KERALA,678631,0491-2500510,-,9207077545,shylajamenon89@gmail.com,shylajamenon@yuvakshetra.org,www.yuvakshetra.org,"Yes
Year1- 2023 Year2- 2024",Self Financing,"Affiliated
(Affiliated/Constituent Colleges)","Yes
04/06/2024
View Document",No,No,No,No,Yes,Kerala,University Of Calicut,1144,1113,0,2257,01/11/2018,27/12/2024 ,,,,,MUNDUR,,,,,,,,,,
27/02/2021,C-534,GJCOGN12499,Accreditation,Cycle3 Cycle Date Grade Score 1 21/09/2005 B++ 83.80 2 24/09/2014 A 3.02 3 06/12/2021 A 3.03,SIR K.P.COLLEGE OF COMMERCE,20/06/1946,Dr. MARTINA R. NORONHA,Principal,Yes,"R.K.Desai Marg, Opp.Mission Hospital Athwalines Surat",GUJARAT,SURAT,SURAT,395001,0261-2240057,0261-2240057,9998221321,principalskpcc@gmail.com,iqac.skpcc@gmail.com,Mrs. SMRUTI P.DESAI Associate Professor,,GUJARAT,395001,0261-2240060,-,9825191769,smrutidesai24@gmail.com,desaiseema67@gmail.com,kpccommerce.ac.in,"Yes
Year1- 2019 Year2- 2020",Grant-in-aid,"Affiliated
(Affiliated PG & Above college)","Yes
12/07/1974
View Document","Yes
12/07/1974
View Document",No,No,No,No,Gujarat,"Veer Narmad South Gujarat
University",1822,1897,0,3719,18/01/2006,27/01/2020 ,,,,,SURAT,,,,,,,,,,
10/05/2024,C-11864,WBCOGN103459,Accreditation,Cycle1,HARIMOHAN GHOSE COLLEGE,23/04/1963,Dr. PRABIR BISWAS,Principal,Yes,"J-206 and 208A, Paharpur Road, Garden Reach, Kolkata-700024.",WEST BENGAL,KOLKATA,KOLKATA,700024,033-24693641,-,9432097553,phmgcollege@gmail.com,naacphmgc@gmail.com,Mr. JAYANTA MITRA IQAC / CIQA coordinator,"Mr. Jayanta Mitra, 19A, Dalimtala Lane, Hatibagan, Kolkata-700006.",WEST BENGAL,700006,-,-,9836234046,mitrajayanta60@gmail.com,,harimohanghosecollegekol24.ac.in,"Yes
Year1- 2022 Year2- 2023",Grant-in-aid,"Affiliated
(Affiliated/Constituent Colleges)","Yes
23/04/1963
View Document","Yes
23/04/1963
View Document",No,No,No,No,West Bengal,University of Calcutta,733,873,0,1606,23/09/2013,19/03/2024 ,,,,,KOLKATA,,,,,,,,,,
17/02/2021,C-37089,TNCOGN80714,Accreditation,Cycle2 Cycle Date Grade Score 1 19/02/2016 A 3.33 2 21/12/2021 A+ 3.27,SRI RAMAKRISHNA ENGINEERING COLLEGE,11/08/1994,Dr. N.R. ALAMELU,Principal,Yes,Vattamalaipalayam N.G.G.O Colony Post Coimbatore,TAMIL NADU,COIMBATORE,COIMBATORE,641022,0422-2460088,0422-2461089,9750952299,principal@srec.ac.in,dr.nralamelu@srec.ac.in,Dr. S.U. PRABHA IQAC / CIQA coordinator,Vattamalaipalayam N.G.G.O Colony Coimbatore,TAMIL NADU,641022,0422-2461588,0422-2240521,8754955886,iqac@srec.ac.in,hod-eee@srec.ac.in,www.srec.ac.in,"Yes
Year1- 2019 Year2- 2020",Self Financing,"Affiliated
(Autonomous colleges)","Yes
13/07/2005
View Document","Yes
12/08/2015
View Document","Yes
View Document",No,No,Yes,Tamil Nadu,Anna University,2898,1292,0,4190,02/06/2014,05/02/2020 ,,,,,COIMBATORE,,,,,,,,,,
23/11/2023,C-37031,TNCOGN27284,Accreditation,Cycle2 Cycle Date Grade Score 1 12/09/2017 B 2.24 2 05/07/2024 B++ 2.87,INFO INSTITUTE OF ENGINEERING,07/09/2007,Dr. N KOTTISWARAN,Principal,Yes,"NH 209, SATHY ROAD, KOVILPALAYAM, COIMBATORE",TAMIL NADU,COIMBATORE,COIMBATORE,641107,0422-2363700,0422-2654888,8489412277,principal2732@gmail.com,info@infoengg.com,Dr. P.D.R.VIJAYAKUMAR IQAC / CIQA coordinator,"NH209, SATHY ROAD, KOVILPALAYAM, COIMBATORE",TAMIL NADU,641107,0422-2363701,-,9884335665,pdrvks@gmail.com,pgokilacse@gmail.com,www.infoengg.com,"Yes
Year1- 2022 Year2- 2023",Private and Self Financing,"Affiliated
(Affiliated/Constituent Colleges)",No,No,No,No,No,Yes,Tamil Nadu,Anna University,439,176,0,615,01/08/2017,09/02/2023 ,,,,,COIMBATORE,,,,,,,,,,
29/06/2024,C-42286,UPCOGN14220,Accreditation,Cycle2 Cycle Date Grade Score 1 08/01/2011 B 2.23,"SHRI LAL BAHADUR SHASTRI DEGREE COLLEGE, GONDA",02/10/1966,Prof. RAVINDRA KUMAR,Principal,Yes,"SHRI LAL BAHADUR SHASTRI DEGREE COLLEGE, CIVIL LINES",UTTAR PRADESH,GONDA,GONDA,271003,05262-232994,-,9451042744,principal@lbsdc.org.in,rk.principal.slbs@gmail.com,,"SHRI LAL BAHADUR SHASTRI DEGREE COLLEGE,
CIVIL LINES",UTTAR PRADESH,271003,05262-232994,-,7007053583,iqac@lbsdc.org.in,rsssocio62@gmail.com,https://www.lbsdc.org.in/,"Yes
Year1- 2022 Year2- 2023",Grant-in-aid and Self Financing,"Affiliated
(Affiliated/Constituent Colleges)","Yes
19/06/1976
View Document","Yes
19/06/1976
View Document",No,No,No,Yes,Uttar pradesh,"Dr Ram Manohar Lohia Awadh
University",4661,4246,0,8907,25/09/2022,15/02/2024 ,,,,,GONDA,,,,,,,,"SHRI LAL BAHADUR SHASTRI DEGREE COLLEGE, GONDA View Document",,
31/03/2023,C-11103,MHCOGN114085,Accreditation,Cycle1,TATYASAHEB KORE COLLEGE OF PHARMACY,01/01/2004,Dr. JOHN INTRU DISOUZA,Principal,Yes,AT POST WARANANAGAR TAL PANHALA DIST KOLHAPUR,MAHARASHTRA,KOLHAPUR,WARANANAGAR,416113,02328-223501,02328-223501,7798885050,tkcp.pc@unishivaji.ac.in,jidisouza@tkcpwarana.ac.in,Mr. KIRAN SHIVAJI PATIL IQAC / CIQA coordinator,AT POST WARANANAGAR TAL PANHALA DIST KOLHAPUR,MAHARASHTRA,416113,02328-,-,7798884959,iqac@tkcpwarana.ac.in,kspatil@tkcpwaranana.ac.in,www.tkcpwarana.ac.in,"Yes
Year1- 2021 Year2- 2022",Private,"Affiliated
(Affiliated/Constituent Colleges)",No,No,No,No,No,Yes,Maharashtra,Shivaji University,226,294,0,520,20/07/2015,27/12/2022 ,,,,,WARANANAGAR,,,,,,,,,,
07/11/2023,C-41983,MHCOGN100242,Accreditation,Cycle2 Cycle Date Grade Score 1 04/03/2019 B 2.38,MAHARSHI KARVE STREE SHIKSHAN SAMSTHA'S DR. BHANUBEN NANAVATI COLLEGE OF ARCHITECTURE FOR WOMEN,08/08/1994,Dr. ANURAG MADHUSUDAN KASHYAP,Principal,Yes,"BNCA campus, Karvenagar, Pune - 411 052",MAHARASHTRA,PUNE,PUNE,411052,020-25476966,-,9921698469,mail@bnca.ac.in,amol.hinge@bnca.ac.in,Dr. CHETAN VIJAY SAHASRABUDHE Professor,"BNCA Campus, Karvenagar, Pune 411052",MAHARASHTRA,411052,020-25474062,-,9850986750,chetan.s@bnca.ac.in,,bnca.ac.in,"Yes
Year1- 2022 Year2- 2023",Private and Self Financing,"Affiliated
(Affiliated/Constituent Colleges)","Yes
16/05/2016
View Document","Yes
16/05/2016
View Document",No,No,No,No,Maharashtra,"Savitribai Phule Pune
University",0,866,0,866,28/05/2018,14/02/2024 ,,,,,PUNE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maharashtra,"Savitribai Phule Pune
University",,,,,,,,,,,,,,,,,,,,,
29/03/2023,C-33531,MHCOGN113908,Accreditation,Cycle1,THAKUR SHYAMNARAYAN COLLEGE OF EDUCATION AND RESEARCH,17/10/2008,Dr. DR MEGHA DEEPAK GOKHE,Principal(in-charge),Yes,"THAKUR SHYAMNARAYAN COLLEGE OF EDUCATION AND RESEARCH, OPPOSITE DREAM PARK, THAKUR VILLAGE, KANDIVALI EAST, MUMBAI-400101",MAHARASHTRA,MUMBAI SUBURBAN,MUMBAI,400101,022-28462077,022-28854129,9769931177,tscerthakur2008@gmail.com,mdgokhe1976@gmail.com,Mrs. FORAM NIRANJAN PATEL IQAC / CIQA coordinator,"THAKUR SHYAMNARAYAN COLLEGE OF EDUCATION AND RESEARCH, THAKUR VILLAGE, OPPOSITE DREAM PARK, KANDIVALI EAST MUMBAI 400101",MAHARASHTRA,400101,022-28852269,022-28854129,9987998563,forampatel81@gmail.com,tscer@thakureducation.org,www.tscermumbai.in,"Yes
Year1- 2018 Year2- 2019",Private,"Affiliated
(Teacher Education Institutions)",No,No,No,No,No,Yes,Maharashtra,University of Mumbai,6,94,0,100,06/04/2015,23/12/2022 ,,,,,MUMBAI,,,,,,,,,,
15/04/2019,C-17643,BRCOGN100859,Accreditation,Cycle1,KOSHI COLLEGE KHAGARIA,08/01/1947,Dr. SCR CHANDEL,Principal(in-charge),Yes,AT- KOSHI COLLEGE PO- KOSHI COLLEGE DIST- KHAGARIA,BIHAR,,KHAGARIA,851205,06244-222625,06244-222625,9430003079,khagariakoshicollege@gmail.com,priyeranjansxc1@gmail.com,Mr. PRIYA RANJAN TIWARI IQAC / CIQA coordinator,"ASSISTANT PROFESSOR, DEPT OF ENGLISH, KOSHI COLLEGE, KHAGARIA",BIHAR,851205,06244-222652,6244-222652,9926645171,dr.scrchandel@gmail.com,,www.koshicollegekhagaria.com,Yes,Government and Constituent,"Affiliated
(Affiliated PG & Above college)","Yes
30/03/2019
View Document","Yes
30/03/2019
View Document",No,No,No,No,Bihar,Munger University,1332,886,,2218,06/04/2014,27/03/2019 ,,,,,KHAGARIA,,,,,,,,,,
11/06/2020,C-41490,MHCOGN19596,Accreditation,Cycle2 Cycle Date Grade Score 1 01/05/2015 A 3.15 2 14/12/2021 A 3.21,ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY'S COLLEGE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY,01/07/1997,Dr. SONALI JADHAV,Principal,Yes,"Shivajinagar, Nyaymurti Ranade Marg, Shivaji Maharaj Statue Campus",MAHARASHTRA,,PUNE,411005,020-25511655,020-25520488,9881401482,sonalijadhav@aissmschmct.in,officeadmin@aissmschmct.in,Dr. MILIND PESHAVE,"Shivajinagar, Nyaymurti Ranade Path,
Shivaji Maharaj Statue campus",MAHARASHTRA,411005,020-25521365,020-,9823576300,iqac@aissmschmct.in,peshave.m@gmail.com,www.aissmschmct.in,"Yes
Year1- 2018 Year2- 2019",Self Financing,"Affiliated
(Affiliated UG College)","Yes
05/02/2016
View Document","Yes
05/02/2016
View Document",No,No,No,Yes,Maharashtra,"Savitribai Phule Pune
University",486,167,,653,03/07/2014,06/01/2020 ,,,,,PUNE,,,,,,,,,,
03/05/2021,C-17415,KACOGN16529,Accreditation,Cycle2 Cycle Date Grade Score 1 25/10/2013 A 3.35 2 04/01/2022 B++ 2.9,ALL INDIA INSTITUTE OF SPEECH AND HEARING,09/10/1965,Dr. M. PUSHPAVATHI,Director,Yes,"Naimisham Campus, Manasagangothri, Mysore-06",KARNATAKA,MYSORE,MYSORE,570006,0821-2502100,0821-25150515,9449323811,naacsc.aiish@gmail.com,director@aiishmysore.in,Dr. S.P. GOSWAMI Professor,,KARNATAKA,570006,0821-2502320,0821-,9480169216,goswami16@gmail.com,goswami@aiishmysore.in,www.aiishmysore.in,"Yes
Year1- 2019 Year2- 2020",Government,"Affiliated
(Allied Health science college)","Yes
03/09/2012
View Document","Yes
03/09/2012
View Document",No,"Yes
View Document",No,Yes,Karnataka,University of Mysore,106,381,0,487,27/06/2013,04/08/2015 ,,,,,MYSORE,,,,,,,,,,
